                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2894,                 3.3561,                  1.481,                0.61432,                0.58798,                0.64289,                0.40529,                  1.227,                 2.9611,                 1.3563,              0.0033285,              0.0033285,              0.0033285
                      2,                 1.2541,                 2.2486,                 1.3862,                0.55667,                0.48734,                0.50418,                0.30388,                 1.3954,                 2.8953,                   1.56,              0.0065958,              0.0065958,              0.0065958
                      3,                 1.3633,                 1.9946,                 1.4475,                0.66235,                0.54462,                0.59347,                0.35293,                 1.5157,                 2.0887,                 1.6095,              0.0097972,              0.0097972,              0.0097972
                      4,                 1.4557,                 1.9482,                 1.5105,                0.74049,                0.60328,                0.66206,                0.39253,                 1.4346,                 2.0152,                 1.5519,               0.009703,               0.009703,               0.009703
                      5,                 1.3929,                 1.7459,                 1.4608,                0.76086,                0.67634,                0.75939,                0.47096,                 1.2738,                  1.351,                 1.4181,               0.009703,               0.009703,               0.009703
                      6,                  1.327,                 1.5717,                 1.4139,                0.75292,                0.71807,                0.78425,                0.51861,                 1.2346,                 1.2899,                 1.3894,               0.009604,               0.009604,               0.009604
                      7,                 1.2636,                 1.4388,                 1.3641,                 0.7927,                0.80674,                0.83321,                0.59151,                 1.1525,                 1.1083,                 1.3041,               0.009505,               0.009505,               0.009505
                      8,                 1.2503,                 1.3791,                 1.3546,                0.82578,                0.79797,                0.85515,                0.59131,                  1.192,                 1.0999,                 1.3318,               0.009406,               0.009406,               0.009406
                      9,                 1.2099,                 1.2888,                 1.3233,                0.89272,                0.81432,                0.90141,                0.64646,                 1.1036,                0.91899,                  1.257,               0.009307,               0.009307,               0.009307
                     10,                 1.1997,                 1.2606,                 1.3173,                0.85786,                0.80685,                0.88421,                0.62885,                 1.0511,                 1.0005,                 1.2351,               0.009208,               0.009208,               0.009208
                     11,                 1.1656,                  1.187,                 1.2919,                0.90353,                0.87506,                0.91412,                0.65413,                 1.0941,                0.84212,                  1.245,               0.009109,               0.009109,               0.009109
                     12,                 1.1344,                 1.1424,                 1.2748,                0.90213,                0.83508,                0.90572,                0.64486,                  1.113,                0.89515,                 1.2757,                0.00901,                0.00901,                0.00901
                     13,                 1.1139,                  1.103,                 1.2614,                0.86971,                0.86516,                0.89936,                0.65488,                  1.047,                0.86615,                 1.2245,               0.008911,               0.008911,               0.008911
                     14,                 1.1033,                 1.0856,                 1.2528,                0.91731,                0.86101,                 0.9265,                0.67583,                 1.0249,                0.81014,                 1.2036,               0.008812,               0.008812,               0.008812
                     15,                 1.0942,                 1.0641,                 1.2467,                0.89762,                0.86357,                0.91963,                0.68465,                0.99247,                0.78677,                 1.1782,               0.008713,               0.008713,               0.008713
                     16,                 1.0688,                 1.0286,                 1.2357,                0.91122,                0.87984,                0.92559,                0.68791,                 1.0109,                0.78749,                 1.1932,               0.008614,               0.008614,               0.008614
                     17,                 1.0613,                 1.0051,                 1.2286,                0.89419,                 0.8987,                0.93311,                0.70396,                0.99692,                0.71973,                 1.1845,               0.008515,               0.008515,               0.008515
                     18,                  1.046,                0.98098,                 1.2179,                0.91886,                0.88316,                0.92968,                0.69953,                 0.9971,                0.74198,                 1.1881,               0.008416,               0.008416,               0.008416
                     19,                 1.0338,                0.96152,                 1.2079,                0.91859,                0.89238,                0.93016,                0.69828,                  1.012,                0.73733,                 1.1716,               0.008317,               0.008317,               0.008317
                     20,                 1.0073,                0.93019,                  1.191,                0.93754,                 0.8817,                0.93059,                0.70423,                0.98241,                0.70862,                 1.1726,               0.008218,               0.008218,               0.008218
                     21,                 1.0111,                0.92495,                 1.1928,                0.92807,                0.88933,                0.93759,                0.71942,                0.95367,                0.69075,                  1.152,               0.008119,               0.008119,               0.008119
                     22,                  0.992,                0.89131,                 1.1774,                0.94678,                0.89011,                0.93463,                0.70952,                 0.9746,                0.71942,                 1.1522,                0.00802,                0.00802,                0.00802
                     23,                0.98064,                0.88253,                 1.1748,                0.92275,                0.91593,                0.93956,                0.71533,                0.97487,                0.69121,                  1.173,               0.007921,               0.007921,               0.007921
                     24,                0.98467,                0.87665,                 1.1738,                0.93035,                 0.9272,                0.94941,                0.71492,                0.98429,                 0.6711,                 1.1814,               0.007822,               0.007822,               0.007822
                     25,                0.97359,                0.86082,                 1.1732,                 0.9182,                0.89716,                0.92715,                0.71271,                0.96135,                0.68351,                 1.1681,               0.007723,               0.007723,               0.007723
                     26,                0.96112,                0.85156,                 1.1612,                0.93835,                0.91186,                0.94364,                0.73018,                0.92187,                0.63101,                 1.1273,               0.007624,               0.007624,               0.007624
                     27,                 0.9565,                0.84582,                 1.1636,                0.94168,                0.91678,                0.94471,                0.73095,                0.95912,                0.65662,                 1.1627,               0.007525,               0.007525,               0.007525
                     28,                 0.9465,                0.82587,                 1.1545,                0.93026,                0.92617,                0.94279,                0.74249,                 0.9269,                0.61074,                  1.138,               0.007426,               0.007426,               0.007426
                     29,                0.93255,                0.80185,                 1.1445,                0.93197,                0.92132,                0.94564,                0.73504,                0.94197,                0.62969,                 1.1265,               0.007327,               0.007327,               0.007327
                     30,                0.92305,                0.78432,                 1.1349,                0.91825,                0.92394,                0.94272,                0.72361,                0.95969,                0.63732,                 1.1556,               0.007228,               0.007228,               0.007228
                     31,                0.92023,                0.78858,                  1.136,                0.94297,                 0.8991,                0.94274,                0.73204,                0.93236,                0.60973,                  1.132,               0.007129,               0.007129,               0.007129
                     32,                0.92182,                0.79226,                  1.137,                0.95357,                 0.9209,                0.94972,                0.73681,                0.93256,                0.59951,                 1.1245,                0.00703,                0.00703,                0.00703
                     33,                0.90993,                0.76779,                 1.1307,                0.93416,                 0.9187,                0.94806,                 0.7345,                0.92856,                0.63116,                 1.1218,               0.006931,               0.006931,               0.006931
                     34,                0.90054,                0.76558,                 1.1252,                0.93955,                0.92834,                0.94677,                0.74529,                0.92036,                0.60796,                  1.128,               0.006832,               0.006832,               0.006832
                     35,                0.89182,                0.73871,                 1.1176,                 0.9371,                0.91748,                0.94919,                0.74833,                0.93114,                 0.5959,                 1.1343,               0.006733,               0.006733,               0.006733
                     36,                0.89103,                0.74558,                 1.1188,                0.95678,                0.92369,                0.95054,                0.74929,                0.92306,                0.57209,                  1.131,               0.006634,               0.006634,               0.006634
                     37,                0.88597,                  0.732,                 1.1147,                0.94311,                0.90552,                0.94918,                0.75001,                0.92298,                0.59076,                 1.1399,               0.006535,               0.006535,               0.006535
                     38,                0.87573,                0.71809,                 1.1076,                0.94376,                0.90949,                0.94794,                0.74134,                0.93425,                0.59428,                 1.1351,               0.006436,               0.006436,               0.006436
                     39,                0.87162,                0.72091,                 1.1093,                0.96057,                0.92036,                0.95401,                0.74625,                0.93568,                0.58098,                 1.1243,               0.006337,               0.006337,               0.006337
                     40,                0.86286,                 0.7194,                 1.1043,                0.94762,                0.92075,                0.95026,                0.74944,                0.91222,                0.58418,                 1.1158,               0.006238,               0.006238,               0.006238
                     41,                0.85936,                0.71014,                 1.1016,                0.95973,                 0.9078,                0.95054,                0.74903,                0.91726,                0.59066,                 1.1152,               0.006139,               0.006139,               0.006139
                     42,                0.85356,                0.69954,                 1.0971,                0.94553,                0.92431,                0.95154,                0.75551,                0.89145,                0.57913,                 1.1008,                0.00604,                0.00604,                0.00604
                     43,                0.85396,                 0.6829,                 1.0971,                0.94303,                0.91594,                0.94541,                0.74753,                0.91876,                0.57833,                 1.1177,               0.005941,               0.005941,               0.005941
                     44,                0.83106,                0.67879,                 1.0859,                0.94348,                0.92738,                0.94845,                0.74927,                0.92577,                0.57308,                 1.1223,               0.005842,               0.005842,               0.005842
                     45,                0.82708,                0.66097,                 1.0851,                0.94995,                0.92028,                0.94435,                0.75396,                0.90946,                0.59392,                 1.1241,               0.005743,               0.005743,               0.005743
                     46,                0.82669,                0.66836,                 1.0839,                0.95424,                0.91748,                0.94673,                0.75426,                0.89935,                0.55858,                 1.1114,               0.005644,               0.005644,               0.005644
                     47,                0.82714,                0.66746,                 1.0863,                0.95356,                 0.9158,                0.94789,                0.75637,                0.90075,                0.57345,                 1.1167,               0.005545,               0.005545,               0.005545
                     48,                0.81925,                 0.6598,                 1.0804,                0.95661,                0.92688,                0.94578,                0.75988,                0.88551,                0.55073,                 1.1079,               0.005446,               0.005446,               0.005446
                     49,                0.81439,                0.65162,                 1.0848,                0.95846,                0.91494,                0.95252,                0.75965,                0.89985,                0.53384,                 1.1137,               0.005347,               0.005347,               0.005347
                     50,                0.80488,                0.63826,                 1.0736,                0.94498,                0.92643,                0.95053,                0.75839,                0.89812,                0.54812,                 1.1105,               0.005248,               0.005248,               0.005248
                     51,                0.79683,                0.63244,                 1.0691,                0.95939,                 0.9186,                0.94796,                 0.7622,                 0.8902,                0.58332,                 1.1038,               0.005149,               0.005149,               0.005149
                     52,                0.79208,                0.62291,                 1.0687,                0.96334,                 0.9172,                0.95452,                0.76393,                0.89856,                0.57299,                 1.1146,                0.00505,                0.00505,                0.00505
                     53,                0.78086,                0.62805,                 1.0617,                0.96499,                0.91661,                0.95057,                0.75817,                0.89809,                0.56464,                 1.1185,               0.004951,               0.004951,               0.004951
                     54,                0.79293,                0.62836,                 1.0666,                 0.9517,                0.92913,                 0.9467,                0.76208,                0.89829,                0.56448,                 1.1152,               0.004852,               0.004852,               0.004852
                     55,                0.77917,                0.61739,                 1.0626,                0.95613,                0.92205,                0.94555,                0.75728,                0.90334,                0.57403,                 1.1224,               0.004753,               0.004753,               0.004753
                     56,                0.77111,                0.60294,                 1.0566,                0.96104,                0.91977,                0.94711,                0.75971,                0.90795,                0.57471,                 1.1281,               0.004654,               0.004654,               0.004654
                     57,                0.76713,                0.60278,                 1.0562,                0.95881,                0.92003,                0.95165,                0.76082,                0.89465,                0.56006,                 1.1209,               0.004555,               0.004555,               0.004555
                     58,                0.76392,                0.59596,                 1.0549,                0.95035,                0.93087,                0.94826,                0.76343,                0.88882,                 0.5586,                  1.112,               0.004456,               0.004456,               0.004456
                     59,                0.76174,                 0.6033,                 1.0528,                0.95403,                0.92645,                0.95019,                0.76513,                0.88559,                 0.5417,                  1.115,               0.004357,               0.004357,               0.004357
                     60,                0.74378,                0.58406,                 1.0421,                0.96479,                0.92585,                0.95306,                0.76993,                0.88222,                0.52922,                 1.1061,               0.004258,               0.004258,               0.004258
                     61,                0.74088,                0.58316,                 1.0432,                0.94835,                0.93142,                0.95034,                0.76857,                0.87049,                0.52769,                 1.0982,               0.004159,               0.004159,               0.004159
                     62,                0.74097,                0.57503,                 1.0417,                0.95479,                0.92858,                0.95182,                0.77075,                0.87194,                 0.5335,                 1.0967,                0.00406,                0.00406,                0.00406
                     63,                0.73951,                0.57752,                 1.0415,                0.95913,                0.92663,                0.95297,                0.77287,                0.87684,                 0.5457,                 1.1005,               0.003961,               0.003961,               0.003961
                     64,                0.73403,                0.56316,                 1.0376,                0.96717,                0.91588,                0.95109,                0.77442,                0.88221,                0.56256,                 1.1033,               0.003862,               0.003862,               0.003862
                     65,                0.72043,                0.56069,                 1.0318,                0.96134,                0.91038,                0.95136,                0.77684,                0.87897,                0.56273,                 1.1029,               0.003763,               0.003763,               0.003763
                     66,                0.72778,                 0.5568,                 1.0391,                0.96327,                0.91966,                0.95166,                0.77412,                0.87799,                0.56838,                 1.1053,               0.003664,               0.003664,               0.003664
                     67,                0.71805,                0.55432,                 1.0307,                0.96724,                0.91753,                0.95224,                0.77259,                 0.8703,                0.55514,                 1.0986,               0.003565,               0.003565,               0.003565
