                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2841,                 3.4517,                 1.4817,                0.69331,                 0.5646,                0.63777,                0.40049,                 1.1661,                 3.2447,                 1.3903,              0.0033309,              0.0033309,              0.0033309
                      2,                 1.2782,                 2.3865,                 1.4323,                0.63385,                0.59127,                0.60795,                0.37054,                 1.2332,                 1.7801,                  1.403,              0.0066093,              0.0066093,              0.0066093
                      3,                 1.3994,                 2.1554,                 1.5124,                0.66183,                0.52988,                0.58479,                0.37043,                 1.2367,                 2.0209,                 1.4094,              0.0098326,              0.0098326,              0.0098326
                      4,                 1.4479,                 2.0617,                 1.5522,                0.73845,                0.67861,                0.72363,                0.45768,                 1.2587,                 2.0683,                 1.4502,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.3906,                 1.8033,                 1.5052,                0.78261,                0.69222,                 0.7757,                0.52521,                 1.1544,                 1.5672,                 1.3363,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.3273,                 1.6667,                 1.4636,                0.76606,                0.74282,                0.80701,                0.55756,                 1.1075,                 1.3673,                 1.3043,                0.00967,                0.00967,                0.00967
                      7,                 1.2736,                 1.5069,                 1.4155,                0.83573,                 0.7771,                0.85919,                0.59825,                 1.0733,                 1.2874,                 1.3025,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.2211,                 1.4077,                 1.3793,                0.82895,                0.83537,                0.88296,                0.63685,                 1.0246,                 1.1408,                 1.2257,               0.009505,               0.009505,               0.009505
                      9,                 1.2074,                  1.348,                 1.3713,                0.87233,                0.82293,                 0.8883,                0.64081,                0.99089,                0.95338,                 1.2282,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.1752,                 1.2784,                 1.3509,                0.88697,                0.83831,                0.90339,                0.64743,                0.99339,                0.99637,                 1.2155,                0.00934,                0.00934,                0.00934
                     11,                 1.1432,                 1.2025,                 1.3222,                0.90335,                0.86189,                0.92606,                0.67727,                 0.9877,                0.81276,                 1.2024,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.1228,                 1.1552,                  1.309,                0.90058,                0.87678,                0.92804,                0.67829,                0.97715,                0.86567,                 1.1939,               0.009175,               0.009175,               0.009175
                     13,                 1.1044,                 1.1392,                 1.2966,                0.89114,                0.86285,                 0.9073,                0.67211,                0.94675,                0.83882,                 1.1602,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.0814,                 1.1099,                  1.283,                0.91649,                0.85157,                0.91379,                0.69706,                0.91627,                  0.835,                 1.1442,                0.00901,                0.00901,                0.00901
                     15,                 1.0741,                 1.0592,                 1.2719,                0.92229,                0.90043,                0.93343,                0.70309,                0.91989,                0.78656,                  1.147,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.0548,                 1.0301,                 1.2601,                0.90905,                0.90496,                0.93471,                0.71827,                0.90007,                0.75617,                 1.1328,               0.008845,               0.008845,               0.008845
                     17,                 1.0422,                 1.0188,                 1.2491,                0.93442,                0.88912,                0.92887,                0.71635,                0.89363,                 0.7197,                 1.1429,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.0298,                0.99006,                 1.2455,                0.93958,                0.89969,                0.94231,                0.72581,                0.87229,                0.67625,                 1.1204,                0.00868,                0.00868,                0.00868
                     19,                 1.0156,                0.96357,                 1.2306,                 0.9408,                0.91201,                0.93878,                0.72232,                0.89245,                0.74982,                 1.1272,              0.0085975,              0.0085975,              0.0085975
                     20,                 1.0176,                0.97352,                 1.2311,                0.92958,                0.87818,                0.93979,                 0.7271,                0.87987,                0.69417,                 1.1243,               0.008515,               0.008515,               0.008515
                     21,                0.99184,                0.92455,                 1.2149,                0.92972,                 0.8897,                0.93275,                0.72335,                0.88198,                0.71637,                 1.1194,              0.0084325,              0.0084325,              0.0084325
                     22,                0.98795,                  0.926,                 1.2123,                0.91954,                 0.9288,                0.95194,                0.72553,                0.88643,                 0.5873,                 1.1182,                0.00835,                0.00835,                0.00835
                     23,                0.96462,                0.88208,                 1.1951,                0.92376,                0.90844,                0.94444,                 0.7348,                0.85921,                0.64642,                 1.1115,              0.0082675,              0.0082675,              0.0082675
                     24,                0.97039,                0.89233,                 1.2017,                0.96234,                0.89594,                0.94962,                0.73281,                0.85176,                0.56768,                 1.0909,               0.008185,               0.008185,               0.008185
