序号,画面标识,结果,位置,置信度
0,D:/graduation project/HandGestureDet/test_media/1.jpg,数字2,"55,88,640,640",0.85
1,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"272,128,400,583",0.86
2,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"272,128,400,582",0.85
3,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"272,128,400,583",0.81
4,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"272,130,400,585",0.79
5,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"271,130,400,583",0.82
6,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"272,129,400,585",0.70
7,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"272,129,399,585",0.79
8,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"271,129,400,585",0.78
9,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"271,129,399,582",0.84
10,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"270,133,393,585",0.84
11,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"268,135,389,585",0.80
12,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"267,136,388,586",0.72
13,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"267,134,387,583",0.82
14,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"265,129,387,582",0.84
15,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"265,134,386,580",0.85
16,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"263,133,385,580",0.81
17,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"263,127,387,583",0.83
18,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"263,128,387,582",0.84
19,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"263,128,387,583",0.84
20,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"265,129,387,583",0.84
21,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"266,134,386,582",0.80
22,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"266,132,387,583",0.78
23,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"266,129,388,585",0.73
24,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"268,135,387,585",0.75
25,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"267,134,387,589",0.70
26,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"267,136,387,595",0.48
27,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"265,136,387,599",0.53
28,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"265,134,386,604",0.53
29,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"265,135,387,601",0.39
30,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"265,136,387,599",0.37
31,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"265,134,387,599",0.36
32,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"266,134,387,597",0.67
33,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"266,135,387,596",0.74
34,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"266,134,387,594",0.71
35,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"266,133,387,595",0.72
36,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"266,134,387,599",0.75
37,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"264,133,388,597",0.60
38,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"264,135,387,600",0.64
39,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"263,136,387,602",0.47
40,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"261,136,386,602",0.39
41,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"261,136,386,609",0.63
42,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"261,136,387,607",0.74
43,D:/graduation project/HandGestureDet/test_media/test.mp4,数字2,"262,137,386,606",0.75
